#Re    B    Pe    lb    ub    ux_rms    ux_err    uy_rms    uy_err    uz_rms    uz_err    vortz_rms    vortz_err    brms    brms_err    tdisp    tdisp_err    mdisp    mdisp_err    vturb    vturb_err    turb_uzrms    turb_uzrms_err    lam_uzrms    lam_uzrms_err    turb_brms    turb_brms_err    lam_brms    lam_brms_err    
# Index 000
6.0002e+02    4.0000e+02    6.0002e+01    2.2500e+02    4.6000e+02    2.6903e+00    2.2853e-01    1.0487e+00    7.6966e-02    1.2118e-01    6.2151e-02    2.9551e+00    9.6997e-01    1.4918e-02    2.6690e-03    2.4798e-02    1.2471e-02    4.0374e+02    6.9220e+01    1.4386e-02    1.0996e-02    1.3541e-01    7.3972e-02    3.5593e-02    1.4903e-02    2.7983e-02    8.5207e-03    1.4428e-02    2.0093e-03    
# Re = 600.02, Pe =  60.00, B = 1000.00
6.0002e+02    1.0000e+03    6.0002e+01    5.0000e+02    9.0000e+02    3.1938e+00    2.6282e-01    1.1412e+00    7.1719e-02    3.9872e-02    3.1729e-02    2.1748e+00    4.4547e-01    6.9217e-03    9.7014e-04    7.1231e-03    2.6903e-03    4.2924e+02    7.2003e+01    1.4624e-03    2.9922e-03    7.3583e-02    7.1110e-02    1.1194e-02    7.1237e-03    1.2582e-02    7.5438e-03    6.8016e-03    8.8953e-04    
# Re = 600.02, Pe =  60.00, B = 3000.00
6.0002e+02    3.0000e+03    6.0002e+01    6.5000e+02    9.0000e+02    2.3638e+00    3.7386e-01    1.4817e+00    1.3852e-01    1.2561e-02    1.9826e-03    1.8256e+00    1.7234e-01    3.1366e-03    3.2790e-04    1.6663e-03    4.3257e-04    3.5411e+02    7.6098e+01    0.0000e+00    0.0000e+00    nan    nan    4.4364e-03    6.6128e-04    nan    nan    3.0954e-03    2.8040e-04    
# Re = 600.02, Pe =  60.00, B = 6000.00
6.0002e+02    6.0000e+03    6.0002e+01    4.0000e+01    1.8000e+02    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    0.0000e+00    0.0000e+00    nan    nan    nan    nan    nan    nan    nan    nan    



# Index 003
# Re = 1000.00, Pe =  10.00, B =   3.00
1.0000e+03    3.0000e+00    1.0000e+01    3.5000e+01    4.0000e+01    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    
# Re = 1000.00, Pe =  10.00, B = 100.00
