#Re    Pe    B    lb    ub    ux_rms    ux_err    uy_rms    uy_err    uz_rms    uz_err    vortz_rms    vortz_err    brms    brms_err    tdisp    tdisp_err    mdisp    mdisp_err    vturb    vturb_err    turb_uzrms    turb_uzrms_err    lam_uzrms    lam_uzrms_err    turb_brms    turb_brms_err    lam_brms    lam_brms_err    uh_rms    uh_rms_err    
# Index 000
3.0003e+02    3.0003e+01    1.0000e+02    3.0000e+02    1.2000e+03    2.7471e+00    3.1333e-01    9.8412e-01    8.5583e-02    1.6598e-01    5.1253e-02    2.4437e+00    5.6710e-01    3.5111e-02    5.1838e-03    4.2256e-02    1.4892e-02    1.1080e+02    2.5682e+01    3.0995e-02    1.6372e-02    1.2600e-01    4.9464e-02    5.3957e-02    1.4931e-02    5.1751e-02    1.0665e-02    3.4606e-02    4.7624e-03    2.9213e+00    2.9414e-01    
# Re = 300.03, Pe =  30.00, B = 300.00
3.0003e+02    3.0003e+01    3.0000e+02    3.0000e+02    9.0000e+02    3.3507e+00    2.9200e-01    1.0138e+00    8.4106e-02    4.0165e-02    1.5351e-02    1.6778e+00    1.6420e-01    1.1979e-02    1.5293e-03    7.7210e-03    2.2506e-03    1.1173e+02    1.9990e+01    1.3868e-03    1.2041e-03    3.1270e-02    2.8991e-02    1.1442e-02    4.2206e-03    1.8413e-02    6.9534e-03    1.1941e-02    1.4329e-03    3.5030e+00    2.7594e-01    
# Re = 300.03, Pe =  30.00, B = 1000.00
3.0003e+02    3.0003e+01    1.0000e+03    8.0000e+02    1.3000e+03    3.5791e+00    2.3654e-01    1.2804e+00    1.0878e-01    2.1247e-02    2.6276e-03    1.7635e+00    1.6788e-01    5.6946e-03    7.6870e-04    2.7348e-03    6.8399e-04    1.6699e+02    2.7721e+01    1.7375e-06    8.8659e-06    7.4932e-03    2.3838e-03    5.5872e-03    5.9315e-04    5.6320e-03    1.9166e-03    5.6937e-03    7.1774e-04    3.8038e+00    2.1950e-01    
# Re = 300.03, Pe =  30.00, B = 10000.00
3.0003e+02    3.0003e+01    1.0000e+04    1.0500e+03    1.4500e+03    2.1891e+00    4.9390e-01    1.6441e+00    1.7353e-01    4.2225e-03    6.0787e-04    1.6360e+00    1.1389e-01    7.5331e-04    6.1362e-05    6.9163e-05    1.5696e-05    1.4288e+02    1.8707e+01    0.0000e+00    0.0000e+00    nan    nan    1.4830e-03    1.5516e-04    nan    nan    7.5424e-04    5.6273e-05    2.7687e+00    3.2190e-01    



# Index 001
# Re = 600.02, Pe =  30.00, B =  10.00
6.0002e+02    3.0003e+01    1.0000e+01    2.6000e+02    3.0000e+02    1.6272e+00    1.7659e-01    1.2247e+00    1.2973e-01    5.7270e-01    5.1215e-02    7.3462e+00    7.8522e-01    1.9352e-01    1.7020e-02    9.0638e-01    1.3088e-01    2.0157e+02    3.8105e+01    5.9108e-01    3.1794e-02    2.8606e-01    2.9408e-02    2.5554e-01    2.5659e-02    1.9134e-01    1.7112e-02    1.9003e-01    1.7791e-02    2.0446e+00    1.2405e-01    
# Re = 600.02, Pe =  30.00, B =  30.00
