#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    vlam avg    vlam err    vturb avg    vturb err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght err    turb wrms eff wght    turb wrms eff wght err    trms    trms err    lam trms    lam trms err    turb trms    turb trms err    lam trms wght    lam trms wght err    turb trms wght    turb trms wght err    lam trms eff wght    lam trms eff wght err    turb trms eff wght    turb trms eff wght err    bflux    bflux err    lam bflux    lam bflux err    turb bflux    turb bflux err    lam bflux wght    lam bflux wght err    turb bflux wght    turb bflux wght err    lam bflux eff wght    lam bflux eff wght err    turb bflux eff wght    turb bflux eff wght err    
6.0000e+02    1.0000e+00    1.0000e-01    6.0000e+01    6.0000e+01    4.5000e+01    1.2500e+02    2.0401e+00    1.7592e-01    8.0615e+00    1.2073e+00    6.4563e-01    7.7742e-02    6.0393e+00    1.2286e+00    2.1182e+02    6.2615e+01    3.6704e-01    1.2612e-02    2.2620e-01    2.0495e-02    5.7544e-01    6.5526e-02    6.0293e+00    1.2282e+00    9.9518e+01    2.4912e+01    4.5759e-01    1.1069e-02    3.7966e-01    1.9666e-02    6.6659e-01    7.9760e-02    6.0433e+00    1.2380e+00    2.4715e+02    7.0462e+01    3.3241e-01    1.0774e-02    1.9997e-01    1.7682e-02    2.4495e-01    2.4797e-02    7.5505e-01    2.4797e-02    5.7048e-01    6.3839e-02    8.4097e-01    1.1199e-01    2.8096e-01    3.3224e-02    4.1367e-01    5.2584e-02    3.5868e-01    3.2884e-02    3.6220e-01    3.2798e-02    3.5752e-01    3.3216e-02    3.6152e-01    3.2953e-02    3.5235e-01    3.5189e-02    1.7856e-01    2.2609e-02    1.7405e-01    2.3112e-02    2.7897e-01    5.8253e-02    2.5669e-01    5.0736e-02    2.8568e-01    6.0008e-02    2.5432e-01    4.9675e-02    3.3635e-01    8.0230e-02    1.2512e-01    2.3868e-02    1.6539e-01    3.7912e-02    



# Index 006: Re = 1000.00, Pe = 100.00
1.0000e+03    1.0000e+02    1.0000e-01    1.0000e+02    1.0000e+04    4.0000e+01    7.0000e+01    2.1316e+00    8.5065e-02    3.8532e+00    2.1586e-01    2.5488e-01    1.3940e-02    1.7848e-01    1.7947e-02    2.1998e+02    6.9289e+00    5.1953e-01    1.6030e-02    4.4690e-01    2.1549e-02    2.3637e-01    1.1750e-02    1.5826e-01    1.5785e-02    1.7676e+02    2.6721e+00    5.2796e-01    1.6616e-02    4.7124e-01    2.3994e-02    3.6553e-01    1.9062e-02    3.3142e-01    2.4132e-02    5.4644e+02    2.5656e+01    4.5102e-01    1.7584e-02    3.7738e-01    2.1579e-02    8.8277e-01    1.2700e-02    1.1723e-01    1.2700e-02    2.2534e-01    1.2123e-02    4.6143e-01    3.9887e-02    1.0584e-01    6.4217e-03    2.1628e-01    1.3995e-02    4.6548e-02    1.8954e-03    4.5616e-02    1.8485e-03    5.3066e-02    1.7057e-03    4.4818e-02    2.0622e-03    5.5657e-02    2.5053e-03    2.1044e-02    9.7740e-04    2.6118e-02    7.8812e-04    1.4345e-02    9.3815e-04    1.2638e-02    8.5751e-04    2.3581e-02    1.5378e-03    1.1625e-02    8.9429e-04    3.1648e-02    3.9361e-03    5.4551e-03    3.8358e-04    1.4807e-02    1.3544e-03    
# Index 007: Re = 1000.00, Pe = 100.00
1.0000e+03    1.0000e+01    1.0000e-01    1.0000e+02    1.0000e+03    7.0000e+01    1.1000e+02    1.5961e+00    7.2416e-02    6.5564e+00    5.8006e-01    4.4039e-01    4.7314e-02    1.5618e+00    2.9931e-01    1.6459e+02    2.4411e+01    5.4735e-01    1.3550e-02    4.8491e-01    1.8030e-02    4.0329e-01    4.0093e-02    1.4505e+00    2.7000e-01    8.5584e+01    9.9082e+00    6.1966e-01    1.4963e-02    6.2587e-01    2.3784e-02    4.6345e-01    5.0458e-02    1.6356e+00    3.1424e-01    2.1716e+02    3.0062e+01    4.9276e-01    1.4643e-02    4.2742e-01    1.7761e-02    4.0237e-01    2.1755e-02    5.9763e-01    2.1755e-02    3.9795e-01    3.9892e-02    5.5938e-01    6.7931e-02    2.4965e-01    2.6388e-02    3.5069e-01    4.2257e-02    1.7255e-01    2.0678e-02    1.7066e-01    2.0781e-02    1.7384e-01    2.0570e-02    1.7064e-01    2.1026e-02    1.7636e-01    1.9642e-02    1.0695e-01    1.2849e-02    1.1049e-01    1.1384e-02    8.3905e-02    1.8882e-02    7.6234e-02    1.6810e-02    8.8649e-02    1.9916e-02    7.5240e-02    1.6479e-02    1.0611e-01    2.3921e-02    4.7133e-02    1.0278e-02    6.6379e-02    1.4435e-02    



