#Re    B    Pr    Pe    BPe    lb    ub    uh_rms    uh_err    vortz_rms    vortz err    wrms    wrms err    tdisp    tdisp_err    mdisp    mdisp_err    eta (local)    eta (local) err    eta (global)    eta (global) err    lam wrms    lam wrms err    lam tdisp    lam tdisp err    lam mdisp    lam mdisp err    lam eta (local)    lam eta (local) err    lam eta (global)    lam eta (global) err    turb wrms    turb wrms err    turb tdisp    turb tdisp err    turb mdisp    turb mdisp err    turb eta (local)    turb eta (local) err    turb eta (global)    turb eta (global) err    vlam avg    vlam err    vturb avg    vturb err    lam wrms wght    lam wrms wght err    turb wrms wght    turb wrms wght err    lam wrms eff wght    lam wrms eff wght err    turb wrms eff wght    turb wrms eff wght err    trms    trms err    lam trms    lam trms err    turb trms    turb trms err    lam trms wght    lam trms wght err    turb trms wght    turb trms wght err    lam trms eff wght    lam trms eff wght err    turb trms eff wght    turb trms eff wght err    bflux    bflux err    lam bflux    lam bflux err    turb bflux    turb bflux err    lam bflux wght    lam bflux wght err    turb bflux wght    turb bflux wght err    lam bflux eff wght    lam bflux eff wght err    turb bflux eff wght    turb bflux eff wght err    
3.0003e+02    1.0000e+04    1.0000e-01    3.0003e+01    3.0003e+05    1.0500e+03    1.4500e+03    2.7670e+00    3.2453e-01    1.6354e+00    1.1749e-01    4.1060e-03    4.2960e-04    6.7048e-05    1.2107e-05    1.3842e+02    1.3567e+01    1.5469e-01    1.0747e-02    4.6006e-02    5.1874e-03    4.1060e-03    4.2960e-04    6.7048e-05    1.2107e-05    1.3842e+02    1.3567e+01    1.5469e-01    1.0747e-02    4.6006e-02    5.1874e-03    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    1.0000e+00    0.0000e+00    0.0000e+00    0.0000e+00    2.9978e-03    3.9466e-04    5.0927e-03    5.9497e-04    1.0890e-03    1.2831e-04    1.8669e-03    3.1500e-04    7.5424e-04    5.6273e-05    7.5424e-04    5.6273e-05    nan    nan    6.0449e-04    4.0153e-05    1.0379e-03    1.5147e-04    2.2152e-04    3.0448e-05    3.8268e-04    8.4036e-05    4.9995e-06    1.0883e-06    4.9995e-06    1.0883e-06    nan    nan    2.5805e-06    7.3269e-07    8.3324e-06    2.3722e-06    9.3162e-07    2.2799e-07    3.0783e-06    1.0188e-06    
# Index 020: Re = 300.03, Pe =  30.00
3.0003e+02    3.0000e+01    1.0000e-01    3.0003e+01    9.0009e+02    5.0000e+01    3.0000e+02    2.9427e+00    2.3098e-01    5.0461e+00    1.1997e+00    4.4391e-01    1.0122e-01    3.3992e-01    1.1738e-01    1.4993e+02    4.6627e+01    4.8927e-01    1.7229e-02    4.0174e-01    1.9940e-02    4.0109e-01    8.0138e-02    2.8960e-01    8.9724e-02    9.4939e+01    1.8488e+01    5.1672e-01    2.3748e-02    4.7067e-01    3.3741e-02    5.4242e-01    1.2551e-01    4.7365e-01    1.5911e-01    2.9809e+02    7.9895e+01    3.9936e-01    2.2269e-02    3.1877e-01    2.7448e-02    7.4460e-01    6.3480e-02    2.5540e-01    6.3480e-02    3.8317e-01    7.7547e-02    6.7686e-01    1.9785e-01    1.3008e-01    2.3451e-02    2.2881e-01    5.9924e-02    1.0335e-01    1.5912e-02    9.9417e-02    1.4058e-02    1.1320e-01    1.8409e-02    9.6198e-02    1.3958e-02    1.2015e-01    2.3294e-02    3.2723e-02    4.2262e-03    4.0768e-02    6.8340e-03    6.0337e-02    2.4427e-02    5.1305e-02    1.8762e-02    7.9151e-02    3.2011e-02    4.7609e-02    1.8383e-02    1.0355e-01    5.0063e-02    1.6034e-02    5.6223e-03    3.4706e-02    1.5378e-02    
# Index 021: Re = 300.03, Pe =  30.00
3.0003e+02    3.0000e+02    1.0000e-01    3.0003e+01    9.0009e+03    3.0000e+02    9.0000e+02    3.5035e+00    2.7729e-01    1.6773e+00    1.6779e-01    4.0474e-02    1.5708e-02    7.6982e-03    2.0861e-03    1.1224e+02    1.9169e+01    3.6310e-01    2.4565e-02    1.6929e-01    2.4075e-02    4.0096e-02    1.4842e-02    7.6409e-03    2.0328e-03    1.1152e+02    1.8894e+01    3.6323e-01    2.4658e-02    1.6925e-01    2.4085e-02    1.1038e-01    1.0454e-01    4.1793e-02    2.9076e-02    5.7015e+02    4.4114e+02    2.6321e-01    7.7710e-02    2.0244e-01    8.1723e-02    9.9862e-01    1.1552e-03    1.3782e-03    1.1552e-03    3.5392e-02    1.3507e-02    6.4055e-02    5.4108e-02    1.0019e-02    3.3133e-03    1.7972e-02    1.3888e-02    1.1960e-02    1.4475e-03    1.1942e-02    1.4342e-03    1.8504e-02    7.0373e-03    1.0474e-02    1.2767e-03    1.5622e-02    2.7926e-03    2.9970e-03    3.4472e-04    4.4712e-03    7.5824e-04    9.3096e-04    7.2907e-04    9.0312e-04    6.5387e-04    4.0164e-03    6.1067e-03    6.8354e-04    5.3271e-04    2.0987e-03    3.1257e-03    1.9204e-04    1.3935e-04    5.8056e-04    8.1260e-04    



# Index 022: Re = 1000.00, Pe =  10.00
1.0000e+03    3.0000e+00    1.0000e-02    1.0000e+01    3.0000e+01    3.5000e+01    4.0000e+01    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    
# Index 023: Re = 1000.00, Pe =  10.00
1.0000e+03    1.0000e+02    1.0000e-02    1.0000e+01    1.0000e+03    3.5000e+01    7.0000e+01    2.5834e+00    2.4550e-01    8.8946e+00    1.0462e+00    2.4410e-01    1.7637e-02    2.2430e-02    4.9209e-03    3.5610e+02    7.2429e+01    5.4471e-01    1.2382e-02    3.8563e-01    3.9657e-03    2.0830e-01    1.0641e-02    1.9884e-02    4.6751e-03    1.7928e+02    2.4990e+01    6.0906e-01    1.8264e-02    5.2116e-01    2.4761e-02    2.9369e-01    2.4113e-02    2.6649e-02    5.1126e-03    6.4640e+02    1.3630e+02    4.1676e-01    6.3137e-03    2.9276e-01    4.1024e-03    6.2434e-01    1.2041e-02    3.7566e-01    1.2041e-02    1.9901e-01    9.2859e-03    3.8845e-01    4.6399e-02    7.7389e-02    3.7598e-03    1.5001e-01    3.7046e-03    2.5462e-02    1.0158e-03    2.5275e-02    1.1798e-03    2.5780e-02    7.3273e-04    2.5044e-02    1.2419e-03    2.6374e-02    6.4757e-04    9.7361e-03    4.4450e-04    1.0278e-02    7.2604e-04    7.5942e-03    9.2588e-04    6.4695e-03    7.5820e-04    9.1544e-03    1.0796e-03    6.1465e-03    7.8730e-04    1.2187e-02    1.6672e-03    2.3717e-03    7.9371e-05    4.6984e-03    1.9886e-04    
# Index 024: Re = 1000.00, Pe =  10.00
1.0000e+03    1.0000e+03    1.0000e-02    1.0000e+01    1.0000e+04    9.4000e+01    9.5000e+01    3.3345e+00    0.0000e+00    2.3638e+00    0.0000e+00    4.6802e-02    0.0000e+00    9.7990e-04    0.0000e+00    4.1975e+02    0.0000e+00    3.6996e-01    0.0000e+00    1.8927e-01    0.0000e+00    4.5581e-02    0.0000e+00    9.7062e-04    0.0000e+00    4.1302e+02    0.0000e+00    3.7033e-01    0.0000e+00    1.9029e-01    0.0000e+00    1.9024e-01    0.0000e+00    3.7757e-03    0.0000e+00    2.4496e+03    0.0000e+00    2.3362e-01    0.0000e+00    1.3355e-01    0.0000e+00    9.9669e-01    0.0000e+00    3.3060e-03    0.0000e+00    4.0895e-02    0.0000e+00    1.7534e-01    0.0000e+00    1.2264e-02    0.0000e+00    5.2583e-02    0.0000e+00    3.4821e-03    0.0000e+00    3.4773e-03    0.0000e+00    4.7052e-03    0.0000e+00    3.2443e-03    0.0000e+00    4.2321e-03    0.0000e+00    9.7295e-04    0.0000e+00    1.2692e-03    0.0000e+00    2.4728e-04    0.0000e+00    2.3648e-04    0.0000e+00    1.2789e-03    0.0000e+00    1.8807e-04    0.0000e+00    1.1757e-03    0.0000e+00    5.6399e-05    0.0000e+00    3.5258e-04    0.0000e+00    



