#Re    B    Pr    Pe    BPe    t    uh_rms    vortz_rms    wrms    tdisp    mdisp    eta (local)    eta (global)    lam wrms    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    turb wrms    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    vlam    vturb    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    trms    lam trms    turb trms    lam trms wght    turb trms wght    lam trms eff wght    turb trms eff wght    bflux    lam bflux    turb bflux    lam bflux wght    turb bflux wght    lam bflux eff wght    turb bflux eff wght    
# Index 000: Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.3513e+01    4.7547e+00    4.0510e+00    3.4445e-03    1.9565e-05    1.6443e+01    3.1395e-02    3.5567e-03    3.4772e-03    2.0074e-05    1.3308e+01    3.2026e-02    4.5050e-03    2.5104e-03    7.0193e-06    9.3656e+01    6.0959e-04    2.2479e-04    9.6097e-01    3.9028e-02    3.3367e-03    2.8533e-03    7.0177e-04    6.0010e-04    4.8762e-04    4.9464e-04    2.6059e-04    4.4029e-04    3.8921e-04    9.2601e-05    8.1857e-05    4.2628e-06    4.3449e-06    8.7896e-07    4.1004e-06    2.4940e-06    8.6239e-07    5.2454e-07    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.5057e+01    4.8377e+00    3.9774e+00    5.7081e-03    7.5645e-05    1.5900e+01    6.2788e-02    1.4072e-02    5.7770e-03    7.8226e-05    1.3074e+01    6.4124e-02    1.7633e-02    3.7657e-03    1.5654e-05    8.1582e+01    1.5329e-03    5.7530e-04    9.5875e-01    4.1248e-02    5.8043e-03    4.8121e-03    1.1998e-03    9.9472e-04    9.5086e-04    9.6696e-04    4.3207e-04    9.7130e-04    7.6258e-04    2.0078e-04    1.5763e-04    8.2592e-06    8.4032e-06    3.5249e-06    6.8737e-06    6.3818e-06    1.4209e-06    1.3192e-06    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.6556e+01    4.8557e+00    3.7728e+00    9.5243e-03    2.5491e-04    1.4679e+01    1.4075e-01    4.9517e-02    9.6049e-03    2.5987e-04    1.2737e+01    1.4273e-01    5.7678e-02    6.0793e-03    8.1832e-05    8.2373e+01    1.5987e-02    2.9714e-03    9.7212e-01    2.7885e-02    1.0555e-02    7.8939e-03    2.1738e-03    1.6257e-03    1.7345e-03    1.7516e-03    9.6644e-04    1.8852e-03    1.4460e-03    3.8823e-04    2.9780e-04    3.7065e-05    3.7558e-05    9.5287e-06    4.6878e-05    2.9229e-05    9.6542e-06    6.0195e-06    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.8151e+01    4.8745e+00    3.6268e+00    2.9928e-02    3.0846e-03    2.2229e+01    3.1669e-01    2.9393e-01    3.0078e-02    3.1134e-03    2.1244e+01    3.1905e-01    3.0539e-01    1.8025e-02    1.2606e-03    8.4616e+01    7.1845e-02    4.2780e-02    9.8445e-01    1.5551e-02    2.8844e-02    2.7416e-02    5.9173e-03    5.6244e-03    5.8476e-03    5.8851e-03    2.5159e-03    6.3281e-03    5.4116e-03    1.2982e-03    1.1102e-03    3.7681e-04    3.7936e-04    1.4214e-04    3.9013e-04    3.3689e-04    8.0035e-05    6.9114e-05    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    2.9754e+01    4.9055e+00    3.4201e+00    7.4323e-02    1.3161e-02    3.0830e+01    5.2145e-01    5.6154e-01    7.4569e-02    1.3243e-02    3.0253e+01    5.2389e-01    5.6771e-01    4.5018e-02    5.3346e-03    8.5949e+01    1.6541e-01    1.5697e-01    9.8965e-01    1.0351e-02    7.7013e-02    6.3448e-02    1.5699e-02    1.2934e-02    1.2417e-02    1.2469e-02    5.5916e-03    1.3470e-02    9.8154e-03    2.7459e-03    2.0009e-03    1.5561e-03    1.5630e-03    5.9312e-04    1.5596e-03    1.3298e-03    3.1793e-04    2.7108e-04    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.1257e+01    4.9739e+00    3.3658e+00    1.4112e-01    6.4336e-02    9.8782e+01    6.0774e-01    6.6146e-01    1.4170e-01    6.4865e-02    9.8954e+01    6.1053e-01    6.6290e-01    7.7614e-02    1.9597e-02    8.4227e+01    2.8644e-01    4.1108e-01    9.8830e-01    1.1698e-02    1.5792e-01    1.1582e-01    3.1749e-02    2.3285e-02    2.7273e-02    2.7403e-02    1.2091e-02    3.0426e-02    2.0218e-02    6.1171e-03    4.0648e-03    6.1246e-03    6.1550e-03    2.4492e-03    7.0078e-03    4.3087e-03    1.4089e-03    8.6625e-04    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.2562e+01    4.8513e+00    3.8093e+00    2.8919e-01    1.3058e-01    2.4271e+02    6.2997e-01    6.1745e-01    2.8783e-01    1.3002e-01    2.3092e+02    6.3398e-01    6.2815e-01    3.3637e-01    1.5164e-01    6.8725e+02    4.5400e-01    3.9829e-01    9.7415e-01    2.5849e-02    2.8307e-01    3.1026e-01    5.8349e-02    6.3954e-02    3.8925e-02    3.8859e-02    4.1340e-02    4.1648e-02    4.0946e-02    8.5848e-03    8.4402e-03    1.4254e-02    1.4104e-02    1.9062e-02    1.4708e-02    1.7571e-02    3.0318e-03    3.6218e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.3735e+01    4.4613e+00    4.1841e+00    4.2238e-01    2.4371e-01    3.5191e+02    6.6341e-01    6.7507e-01    4.1368e-01    2.4273e-01    3.2305e+02    6.7040e-01    6.9269e-01    5.6756e-01    2.6321e-01    9.2256e+02    5.0583e-01    4.6118e-01    9.5185e-01    4.8147e-02    3.6974e-01    6.3595e-01    8.2877e-02    1.4255e-01    5.6071e-02    5.6215e-02    5.3132e-02    5.5668e-02    5.6377e-02    1.2478e-02    1.2637e-02    2.7933e-02    2.7176e-02    4.0062e-02    2.3847e-02    4.4222e-02    5.3452e-03    9.9122e-03    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.4789e+01    3.9131e+00    6.9130e+00    5.8736e-01    3.8249e-01    5.4627e+02    6.7472e-01    6.7748e-01    5.3065e-01    3.4241e-01    4.0260e+02    6.8609e-01    7.1843e-01    9.5550e-01    7.4156e-01    1.8334e+03    5.6276e-01    5.4821e-01    8.9959e-01    1.0041e-01    4.4408e-01    1.2357e+00    1.1348e-01    3.1580e-01    6.7117e-02    6.5944e-02    7.6835e-02    6.2242e-02    7.9028e-02    1.5906e-02    2.0196e-02    4.6204e-02    3.9722e-02    8.4406e-02    3.1924e-02    1.0408e-01    8.1583e-03    2.6597e-02    
6.0000e+02    3.0000e+02    1.0000e-01    6.0000e+01    1.8000e+04    3.5922e+01    3.5023e+00    4.2229e+00    3.0455e-01    1.3048e-01    4.0787e+02    5.6730e-01    4.8973e-01    2.9692e-01    1.2363e-01    3.6735e+02    5.7167e-01    5.0240e-01    4.0426e-01    2.3604e-01    1.0319e+03    4.9506e-01    4.0695e-01    9.3903e-01    6.0974e-02    2.8085e-01    4.7689e-01    8.0188e-02    1.3616e-01    4.5803e-02    4.4971e-02    5.7104e-02    4.2306e-02    5.9428e-02    1.2079e-02    1.6968e-02    1.6356e-02    1.5208e-02    2.8729e-02    1.3376e-02    3.9155e-02    3.8193e-03    1.1180e-02    
