#Re    B    Pr    Pe    BPe    t    uh_rms    vortz_rms    wrms    tdisp    mdisp    eta (local)    eta (global)    lam wrms    lam tdisp    lam mdisp    lam eta (local)    lam eta (global)    turb wrms    turb tdisp    turb mdisp    turb eta (local)    turb eta (global)    vlam    vturb    lam wrms wght    turb wrms wght    lam wrms eff wght    turb wrms eff wght    trms    lam trms    turb trms    lam trms wght    turb trms wght    lam trms eff wght    turb trms eff wght    bflux    lam bflux    turb bflux    lam bflux wght    turb bflux wght    lam bflux eff wght    turb bflux eff wght    
# Index 000: Re = 600.00, Pe =  60.00, B = 300.00
6.0000e+02    1.8000e+02    1.0000e-01    6.0000e+01    1.0800e+04    8.7140e+01    1.9376e+00    2.7600e+00    1.7306e-01    6.6879e-02    2.1774e+02    4.7479e-01    3.5604e-01    1.5959e-01    6.0999e-02    1.9467e+02    4.7706e-01    3.6063e-01    3.5179e-01    1.8996e-01    7.0060e+02    4.2456e-01    3.2798e-01    9.5441e-01    4.5595e-02    1.4432e-01    3.9698e-01    7.4483e-02    2.0489e-01    2.9925e-02    2.9356e-02    4.0012e-02    2.8358e-02    3.8692e-02    1.4636e-02    1.9969e-02    7.3521e-03    6.2849e-03    1.8940e-02    5.2099e-03    2.1959e-02    2.6889e-03    1.1333e-02    



# Index 002: Re = 600.00, Pe =  60.00, B = 100.00
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.6749e+00    1.6505e+00    2.4861e+00    2.2881e-07    5.5538e-14    6.1805e+00    1.8104e-10    8.9859e-12    2.2805e-07    5.4913e-14    4.8311e+00    1.9099e-10    1.1367e-11    2.3543e-07    6.1060e-14    1.8116e+01    5.3490e-12    3.3705e-12    8.9843e-01    1.0157e-01    2.4811e-07    2.3405e-07    1.5032e-07    1.4181e-07    3.9665e-08    3.9193e-08    4.3620e-08    4.2485e-08    4.2106e-08    2.5741e-08    2.5511e-08    9.7208e-15    9.5238e-15    1.1315e-14    1.2694e-14    1.0784e-14    7.6912e-15    6.5336e-15    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    7.8454e+00    1.8991e+00    2.8211e+00    2.0694e-07    1.7658e-13    7.9588e+00    4.1923e-10    2.2186e-11    2.0601e-07    1.8118e-13    5.9172e+00    4.4356e-10    3.0619e-11    2.1456e-07    1.3813e-13    2.5016e+01    1.7544e-11    5.5216e-12    8.9311e-01    1.0689e-01    1.9224e-07    2.0610e-07    1.0122e-07    1.0852e-07    5.1218e-08    5.1577e-08    4.8112e-08    4.7155e-08    4.8814e-08    2.4829e-08    2.5703e-08    2.4261e-14    2.5090e-14    1.5713e-14    1.3905e-14    1.8551e-14    7.3220e-15    9.7679e-15    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    1.0437e+01    2.5516e+00    3.3627e+00    9.4254e-07    4.0340e-12    1.1308e+01    5.6378e-09    3.5674e-10    9.6065e-07    4.2757e-12    7.9648e+00    6.0609e-09    5.3682e-10    8.1709e-07    2.4868e-12    3.2716e+01    3.0685e-10    7.6010e-11    8.6492e-01    1.3508e-01    9.7059e-07    8.5557e-07    3.8039e-07    3.3531e-07    2.0809e-07    2.1190e-07    1.8184e-07    1.9548e-07    1.9023e-07    7.6610e-08    7.4554e-08    5.3039e-13    5.4838e-13    3.9628e-13    4.4547e-13    4.4782e-13    1.7458e-13    1.7551e-13    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    1.2546e+01    2.7499e+00    3.4823e+00    3.8413e-06    7.8138e-11    1.2126e+01    1.2286e-07    6.4437e-09    3.6878e-06    7.2211e-11    8.5803e+00    1.3161e-07    8.4159e-09    4.7403e-06    1.1770e-10    3.5799e+01    1.5029e-08    3.2880e-09    8.6972e-01    1.3028e-01    2.9313e-06    4.2357e-06    1.0660e-06    1.5403e-06    8.6938e-07    8.2943e-07    1.0995e-06    7.0902e-07    9.7300e-07    2.5784e-07    3.5384e-07    1.2836e-11    1.1486e-11    1.9595e-11    6.7717e-12    1.6091e-11    2.4626e-12    5.8514e-12    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    1.4734e+01    2.9424e+00    3.4411e+00    1.2619e-05    9.3731e-10    1.1841e+01    3.1209e-06    7.9156e-08    1.2875e-05    9.6329e-10    8.9687e+00    3.2849e-06    1.0740e-07    9.9435e-06    6.9680e-10    3.8442e+01    1.0540e-07    1.8126e-08    9.0254e-01    9.7464e-02    1.4861e-05    1.0427e-05    5.0508e-06    3.5437e-06    3.1031e-06    3.1425e-06    2.7112e-06    4.1366e-06    2.6524e-06    1.4058e-06    9.0145e-07    1.0885e-10    1.1129e-10    8.2952e-11    1.3447e-10    8.5621e-11    4.5701e-11    2.9099e-11    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    1.6715e+01    3.2045e+00    3.4338e+00    9.0739e-05    5.3005e-08    1.1791e+01    7.5098e-05    4.4953e-06    9.2052e-05    5.5339e-08    9.1283e+00    7.8536e-05    6.0624e-06    7.5412e-05    2.8236e-08    4.0054e+01    5.9145e-06    7.0495e-07    9.1389e-01    8.6112e-02    7.5307e-05    8.9787e-05    2.3500e-05    2.8019e-05    2.1920e-05    2.2394e-05    1.6059e-05    1.7799e-05    2.0605e-05    5.5542e-06    6.4300e-06    1.5921e-08    1.6555e-08    5.9161e-09    8.2415e-09    1.5584e-08    2.5718e-09    4.8631e-09    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    1.8634e+01    3.2314e+00    3.3403e+00    2.3533e-04    3.4861e-07    1.1158e+01    2.2528e-03    3.1242e-05    2.3757e-04    3.6148e-07    8.5278e+00    2.3449e-03    4.2386e-05    2.0660e-04    1.9449e-07    4.2668e+01    3.3463e-05    4.5582e-06    9.2296e-01    7.7040e-02    2.4183e-04    2.1225e-04    7.4838e-05    6.5685e-05    5.7319e-05    5.8682e-05    3.7297e-05    6.1331e-05    4.5465e-05    1.8980e-05    1.4070e-05    7.4909e-08    7.7292e-08    3.5578e-08    1.0260e-07    5.2672e-08    3.1752e-08    1.6300e-08    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.0483e+01    3.4982e+00    3.4103e+00    6.5672e-04    2.5655e-06    1.1632e+01    3.3579e-03    2.2051e-04    6.7563e-04    2.7293e-06    8.7662e+00    3.4947e-03    3.1125e-04    3.5846e-04    5.9620e-07    4.6073e+01    8.0427e-05    1.2940e-05    9.2320e-01    7.6805e-02    6.4894e-04    4.8721e-04    1.8551e-04    1.3928e-04    1.5604e-04    1.6104e-04    7.2573e-05    1.6059e-04    1.1485e-04    4.5905e-05    3.2832e-05    3.6706e-07    3.8138e-07    7.6870e-08    3.9038e-07    2.0916e-07    1.1159e-07    5.9791e-08    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.2220e+01    3.9250e+00    3.6313e+00    2.8432e-03    5.1920e-05    1.3204e+01    2.7832e-02    3.9166e-03    2.9031e-03    5.5249e-05    9.6348e+00    2.9111e-02    5.7016e-03    2.1054e-03    1.6607e-05    5.1068e+01    1.4325e-03    3.2509e-04    9.1385e-01    8.6152e-02    2.5202e-03    2.2949e-03    6.4209e-04    5.8469e-04    6.0816e-04    6.2779e-04    3.3534e-04    5.8396e-04    4.6201e-04    1.4878e-04    1.1771e-04    6.8760e-06    7.1716e-06    1.8011e-06    6.0700e-06    3.7378e-06    1.5465e-06    9.5230e-07    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.3897e+01    4.0555e+00    3.4844e+00    7.3038e-03    3.4994e-04    1.2276e+01    8.1339e-02    2.7715e-02    7.5019e-03    3.6785e-04    9.1179e+00    8.4352e-02    3.8779e-02    3.9168e-03    1.1790e-04    5.3201e+01    1.2114e-02    2.2113e-03    9.2835e-01    7.1649e-02    6.6310e-03    5.9988e-03    1.6351e-03    1.4792e-03    1.6267e-03    1.6630e-03    1.0476e-03    1.5210e-03    1.3514e-03    3.7506e-04    3.3322e-04    5.7246e-05    5.9095e-05    2.2139e-05    3.5794e-05    4.9785e-05    8.8261e-06    1.2276e-05    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.5703e+01    3.9859e+00    3.4021e+00    1.7408e-02    2.0637e-03    1.2809e+01    1.9838e-01    1.3876e-01    1.7816e-02    2.1530e-03    1.0095e+01    2.0384e-01    1.7579e-01    7.5501e-03    5.3229e-04    5.9309e+01    4.1405e-02    8.8952e-03    9.4486e-01    5.5141e-02    2.0233e-02    1.2322e-02    5.0762e-03    3.0913e-03    4.1408e-03    4.2463e-03    1.4091e-03    4.4340e-03    3.0098e-03    1.1124e-03    7.5510e-04    2.7986e-04    2.8735e-04    7.4091e-05    3.3738e-04    1.8748e-04    8.4642e-05    4.7035e-05    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.7374e+01    4.1977e+00    3.4537e+00    3.1175e-02    5.9912e-03    1.5131e+01    3.5485e-01    2.8364e-01    3.1792e-02    6.2187e-03    1.1926e+01    3.6451e-01    3.4273e-01    1.7365e-02    2.0628e-03    7.0476e+01    7.7128e-02    2.8437e-02    9.4526e-01    5.4741e-02    3.4064e-02    2.3159e-02    8.1149e-03    5.5170e-03    6.9992e-03    7.1520e-03    3.4116e-03    7.4425e-03    5.0386e-03    1.7730e-03    1.2003e-03    4.7537e-04    4.8503e-04    2.5658e-04    5.3085e-04    3.6293e-04    1.2646e-04    8.6459e-05    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    2.8891e+01    4.4861e+00    3.7045e+00    5.2263e-02    1.3239e-02    2.0941e+01    4.1101e-01    3.8733e-01    5.3466e-02    1.3954e-02    1.7271e+01    4.2344e-01    4.4690e-01    2.6724e-02    1.9017e-03    7.9132e+01    6.6709e-02    2.3468e-02    9.4067e-01    5.9334e-02    5.6083e-02    3.4595e-02    1.2502e-02    7.7117e-03    1.1366e-02    1.1661e-02    4.6297e-03    1.3071e-02    6.7308e-03    2.9136e-03    1.5004e-03    1.1774e-03    1.2105e-03    3.6550e-04    1.3673e-03    6.3359e-04    3.0479e-04    1.4123e-04    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.0259e+01    4.6295e+00    3.8972e+00    1.0166e-01    4.3881e-02    3.5537e+01    5.2526e-01    5.5253e-01    1.0306e-01    4.6259e-02    3.1418e+01    5.4311e-01    5.9553e-01    8.1189e-02    1.2784e-02    8.9382e+01    1.6305e-01    1.2513e-01    9.2895e-01    7.1053e-02    9.7424e-02    8.2644e-02    2.1044e-02    1.7851e-02    2.1511e-02    2.2022e-02    1.3117e-02    2.1244e-02    1.4911e-02    4.5888e-03    3.2208e-03    4.0513e-03    4.1490e-03    2.4372e-03    3.6849e-03    2.9380e-03    7.9596e-04    6.3462e-04    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.1406e+01    4.5993e+00    3.9349e+00    1.9267e-01    1.0075e-01    7.3393e+01    5.8902e-01    5.7854e-01    1.9119e-01    1.0482e-01    6.9783e+01    6.0697e-01    6.0032e-01    2.1019e-01    5.0108e-02    1.1832e+02    2.8228e-01    2.9751e-01    9.2563e-01    7.4368e-02    1.9889e-01    1.9306e-01    4.3244e-02    4.1977e-02    3.5031e-02    3.5326e-02    3.1127e-02    3.7336e-02    2.9836e-02    8.1177e-03    6.4871e-03    1.0693e-02    1.0586e-02    1.1950e-02    1.0592e-02    1.0682e-02    2.3030e-03    2.3224e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.2299e+01    4.6112e+00    5.6626e+00    4.0163e-01    2.5130e-01    1.9507e+02    6.0300e-01    5.6299e-01    3.5686e-01    2.2590e-01    1.3846e+02    6.2331e-01    6.2000e-01    6.5725e-01    4.5377e-01    6.4627e+02    4.0639e-01    4.1250e-01    8.8853e-01    1.1147e-01    2.9144e-01    1.1026e+00    6.3203e-02    2.3911e-01    5.4690e-02    5.1293e-02    7.6554e-02    4.8032e-02    1.0319e-01    1.0416e-02    2.2378e-02    4.1466e-02    3.1737e-02    8.6003e-02    2.3007e-02    1.5267e-01    4.9894e-03    3.3109e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.3171e+01    4.4470e+00    5.1896e+00    3.4915e-01    2.6097e-01    1.6571e+02    6.2465e-01    6.1163e-01    3.3204e-01    2.5385e-01    1.3516e+02    6.4507e-01    6.5256e-01    4.5355e-01    3.1214e-01    3.8544e+02    4.5130e-01    4.4746e-01    8.7794e-01    1.2206e-01    2.9922e-01    5.4066e-01    6.7285e-02    1.2158e-01    6.1677e-02    6.0941e-02    6.6734e-02    5.7613e-02    6.9905e-02    1.2955e-02    1.5720e-02    2.8209e-02    2.5925e-02    4.1052e-02    2.1794e-02    4.8689e-02    4.9008e-03    1.0949e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.4273e+01    4.3737e+00    4.2452e+00    3.4985e-01    2.1763e-01    1.3030e+02    6.3039e-01    6.2550e-01    3.4427e-01    2.2177e-01    1.2030e+02    6.4630e-01    6.4831e-01    4.0260e-01    1.7524e-01    2.3274e+02    4.3508e-01    4.2953e-01    9.1108e-01    8.8916e-02    3.2751e-01    4.1290e-01    7.4880e-02    9.4405e-02    6.0080e-02    5.9882e-02    6.2072e-02    5.6602e-02    6.0617e-02    1.2941e-02    1.3859e-02    2.3743e-02    2.2910e-02    3.1012e-02    2.0443e-02    3.0518e-02    4.6740e-03    6.9776e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.5420e+01    4.3584e+00    4.3308e+00    4.2087e-01    2.4605e-01    1.6126e+02    6.1838e-01    6.0408e-01    4.1451e-01    2.4613e-01    1.4845e+02    6.3241e-01    6.2377e-01    4.8045e-01    2.4523e-01    2.9080e+02    4.5273e-01    4.5750e-01    9.1003e-01    8.9968e-02    3.9492e-01    4.9727e-01    9.0612e-02    1.1409e-01    6.7931e-02    6.7957e-02    6.7667e-02    6.6531e-02    6.5470e-02    1.5265e-02    1.5022e-02    3.2190e-02    3.1538e-02    3.8166e-02    2.8821e-02    3.7988e-02    6.6127e-03    8.7162e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.6486e+01    4.1944e+00    4.8443e+00    5.4508e-01    3.8002e-01    2.1243e+02    6.4718e-01    6.4143e-01    5.0146e-01    3.6255e-01    1.8114e+02    6.5709e-01    6.6682e-01    8.2538e-01    5.2708e-01    4.7574e+02    5.5680e-01    5.2560e-01    8.9378e-01    1.0622e-01    4.5023e-01    8.1285e-01    1.0734e-01    1.9380e-01    8.9368e-02    8.6476e-02    1.1075e-01    8.0961e-02    1.0221e-01    1.9302e-02    2.4368e-02    5.7669e-02    5.1296e-02    9.5755e-02    4.1577e-02    8.7878e-02    9.9125e-03    2.0952e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.7457e+01    3.9937e+00    5.5241e+00    5.5719e-01    4.1320e-01    2.3263e+02    6.4427e-01    6.3980e-01    4.8408e-01    3.4748e-01    1.6982e+02    6.5219e-01    6.7172e-01    9.2931e-01    8.9077e-01    6.8909e+02    5.8351e-01    5.6383e-01    8.7903e-01    1.2097e-01    4.2420e-01    1.0874e+00    1.0622e-01    2.7229e-01    1.0195e-01    9.4536e-02    1.4483e-01    8.3717e-02    1.4224e-01    2.0963e-02    3.5617e-02    7.7369e-02    6.1622e-02    1.4796e-01    4.4853e-02    1.6919e-01    1.1231e-02    4.2365e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.8474e+01    3.8319e+00    6.1953e+00    6.3791e-01    4.8712e-01    2.8892e+02    6.3135e-01    6.2769e-01    5.6236e-01    3.8519e-01    1.9165e+02    6.4064e-01    6.6776e-01    1.0062e+00    1.1676e+00    9.3841e+02    5.6545e-01    5.5442e-01    8.6974e-01    1.3026e-01    4.8907e-01    1.2541e+00    1.2763e-01    3.2728e-01    1.1905e-01    1.1027e-01    1.6619e-01    1.0001e-01    1.7879e-01    2.6099e-02    4.6658e-02    1.0121e-01    8.1239e-02    1.8593e-01    6.4904e-02    2.3635e-01    1.6938e-02    6.1680e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    3.9369e+01    3.5113e+00    8.9900e+00    6.5901e-01    6.6748e-01    4.7253e+02    6.2577e-01    5.8550e-01    5.7437e-01    4.6941e-01    2.3505e+02    6.4523e-01    6.6634e-01    9.2409e-01    1.4638e+00    1.4273e+03    5.4054e-01    5.0631e-01    8.0081e-01    1.9919e-01    5.0718e-01    1.2419e+00    1.4444e-01    3.5370e-01    1.2137e-01    1.1259e-01    1.5165e-01    1.0366e-01    1.7199e-01    2.9520e-02    4.8980e-02    9.3794e-02    7.4136e-02    1.4856e-01    6.1963e-02    2.3207e-01    1.7647e-02    6.6093e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.0408e+01    3.2039e+00    7.6188e+00    5.2122e-01    4.2729e-01    4.0093e+02    5.8944e-01    5.1591e-01    4.7630e-01    3.4422e-01    2.3824e+02    6.1604e-01    5.9098e-01    6.5315e-01    7.1450e-01    9.6347e+02    4.8640e-01    4.2581e-01    7.7567e-01    2.2433e-01    4.4600e-01    8.1996e-01    1.3921e-01    2.5593e-01    9.4860e-02    9.1655e-02    1.0519e-01    8.6449e-02    1.0546e-01    2.6982e-02    3.2915e-02    5.2513e-02    4.5738e-02    7.1129e-02    4.0602e-02    8.7544e-02    1.2673e-02    2.7324e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.1601e+01    2.8282e+00    6.9327e+00    4.1226e-01    3.2261e-01    3.7642e+02    5.4891e-01    4.6151e-01    3.7592e-01    2.7042e-01    2.3834e+02    5.7470e-01    5.3153e-01    5.1863e-01    5.0300e-01    8.5376e+02    4.4850e-01    3.7074e-01    7.7563e-01    2.2437e-01    3.5330e-01    6.5307e-01    1.2492e-01    2.3092e-01    7.9470e-02    7.7185e-02    8.6906e-02    7.5215e-02    8.8010e-02    2.6595e-02    3.1119e-02    3.6596e-02    3.2011e-02    4.9261e-02    2.8905e-02    6.0657e-02    1.0221e-02    2.1447e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.3014e+01    2.5747e+00    4.8154e+00    3.0217e-01    1.5508e-01    2.6615e+02    4.8169e-01    3.6817e-01    2.8374e-01    1.3337e-01    1.9975e+02    4.9560e-01    4.0036e-01    3.9038e-01    2.7791e-01    6.4170e+02    3.9387e-01    3.0221e-01    8.4977e-01    1.5023e-01    2.7055e-01    4.6810e-01    1.0508e-01    1.8180e-01    5.3323e-02    5.2310e-02    5.8725e-02    5.2175e-02    5.8344e-02    2.0264e-02    2.2660e-02    1.7712e-02    1.6064e-02    2.5070e-02    1.5191e-02    3.0277e-02    5.8999e-03    1.1759e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.4605e+01    2.4163e+00    3.4450e+00    2.4523e-01    9.8046e-02    2.0735e+02    4.4420e-01    3.2104e-01    2.3311e-01    8.6600e-02    1.7548e+02    4.4945e-01    3.3044e-01    3.6060e-01    2.3605e-01    5.9161e+02    3.7507e-01    2.8520e-01    9.2341e-01    7.6592e-02    2.2235e-01    4.2757e-01    9.2024e-02    1.7695e-01    4.6492e-02    4.5652e-02    5.5633e-02    4.4798e-02    5.7760e-02    1.8540e-02    2.3905e-02    1.3040e-02    1.1821e-02    2.3141e-02    1.0962e-02    2.8379e-02    4.5369e-03    1.1745e-02    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.6370e+01    2.3476e+00    2.5017e+00    2.0451e-01    8.8364e-02    1.6986e+02    4.5787e-01    3.4220e-01    1.9876e-01    8.4243e-02    1.5677e+02    4.6116e-01    3.4954e-01    3.0536e-01    1.7978e-01    4.6042e+02    3.7736e-01    2.8082e-01    9.5687e-01    4.3127e-02    1.9364e-01    3.1009e-01    8.2482e-02    1.3209e-01    4.2929e-02    4.2681e-02    4.8090e-02    4.1787e-02    4.6950e-02    1.7800e-02    1.9999e-02    9.8447e-03    9.3444e-03    1.7605e-02    8.8066e-03    1.7413e-02    3.7513e-03    7.4172e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    4.8182e+01    2.2857e+00    2.3518e+00    1.9759e-01    9.4308e-02    1.5885e+02    4.7735e-01    3.7252e-01    1.9196e-01    9.0861e-02    1.4770e+02    4.7988e-01    3.8088e-01    3.1138e-01    1.8534e-01    4.5354e+02    4.0496e-01    2.9010e-01    9.6351e-01    3.6487e-02    1.8557e-01    3.1066e-01    8.1188e-02    1.3592e-01    4.4100e-02    4.3889e-02    4.9356e-02    4.3138e-02    4.7411e-02    1.8873e-02    2.0742e-02    1.0144e-02    9.6321e-03    1.9241e-02    9.4567e-03    1.8498e-02    4.1374e-03    8.0929e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.0007e+01    2.2107e+00    2.2753e+00    1.9308e-01    8.0922e-02    1.5090e+02    4.6379e-01    3.4907e-01    1.8832e-01    7.7574e-02    1.4233e+02    4.6621e-01    3.5277e-01    2.8781e-01    1.6492e-01    3.6596e+02    3.9832e-01    3.1065e-01    9.6167e-01    3.8332e-02    1.8144e-01    2.5742e-01    8.2073e-02    1.1644e-01    3.7304e-02    3.7082e-02    4.2504e-02    3.6109e-02    4.0503e-02    1.6334e-02    1.8321e-02    8.1644e-03    7.8157e-03    1.4369e-02    6.9459e-03    1.2254e-02    3.1419e-03    5.5431e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.2051e+01    2.2588e+00    2.1276e+00    1.7914e-01    6.6870e-02    1.2685e+02    4.6578e-01    3.4518e-01    1.7676e-01    6.5230e-02    1.2081e+02    4.6752e-01    3.5062e-01    2.4596e-01    1.2185e-01    3.2952e+02    4.0306e-01    2.6996e-01    9.7104e-01    2.8964e-02    1.7181e-01    2.2104e-01    7.6064e-02    9.7858e-02    3.8175e-02    3.8022e-02    4.2980e-02    3.8150e-02    4.1175e-02    1.6889e-02    1.8229e-02    7.8881e-03    7.6542e-03    1.3568e-02    7.1029e-03    1.1498e-02    3.1446e-03    5.0902e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.4016e+01    2.2485e+00    2.3299e+00    1.9119e-01    7.9458e-02    1.4131e+02    4.6460e-01    3.5991e-01    1.8472e-01    7.5237e-02    1.3236e+02    4.6638e-01    3.6241e-01    3.1400e-01    1.8718e-01    3.6978e+02    4.1655e-01    3.3608e-01    9.6229e-01    3.7707e-02    1.8159e-01    2.9301e-01    8.0760e-02    1.3031e-01    3.9293e-02    3.9063e-02    4.4756e-02    3.9004e-02    4.3269e-02    1.7347e-02    1.9243e-02    8.6942e-03    8.1039e-03    1.8127e-02    8.3283e-03    1.6747e-02    3.7039e-03    7.4478e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.6126e+01    2.1454e+00    1.9518e+00    1.5204e-01    5.4629e-02    1.2893e+02    4.3897e-01    2.9761e-01    1.5001e-01    5.2952e-02    1.2430e+02    4.3978e-01    2.9875e-01    2.2932e-01    1.3543e-01    3.5218e+02    3.9761e-01    2.7774e-01    9.7967e-01    2.0330e-02    1.4793e-01    2.0251e-01    6.8953e-02    9.4393e-02    3.5491e-02    3.5436e-02    3.8026e-02    3.6577e-02    3.6600e-02    1.7049e-02    1.7060e-02    5.6416e-03    5.5074e-03    1.0195e-02    5.7063e-03    8.5846e-03    2.6598e-03    4.0014e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    5.8252e+01    2.2193e+00    2.0170e+00    1.7896e-01    6.9816e-02    1.2811e+02    4.6206e-01    3.5275e-01    1.7350e-01    6.7237e-02    1.2254e+02    4.6315e-01    3.5429e-01    3.2925e-01    1.7212e-01    3.4866e+02    4.1658e-01    3.3050e-01    9.7540e-01    2.4596e-02    1.6567e-01    2.9155e-01    7.4651e-02    1.3137e-01    3.8571e-02    3.8298e-02    4.8168e-02    3.7295e-02    4.3790e-02    1.6805e-02    1.9731e-02    9.7082e-03    9.0598e-03    2.4017e-02    8.3169e-03    2.0464e-02    3.7475e-03    9.2208e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    6.0203e+01    2.1918e+00    2.1674e+00    1.8469e-01    7.2866e-02    1.4826e+02    4.5572e-01    3.2953e-01    1.8156e-01    7.0597e-02    1.4058e+02    4.5795e-01    3.3430e-01    2.5943e-01    1.3854e-01    3.7046e+02    3.8571e-01    2.7219e-01    9.6661e-01    3.3390e-02    1.7828e-01    2.3537e-01    8.1342e-02    1.0739e-01    3.6072e-02    3.5954e-02    3.9330e-02    3.4991e-02    3.8084e-02    1.5965e-02    1.7376e-02    7.7025e-03    7.5242e-03    1.1743e-02    6.9592e-03    1.0511e-02    3.1751e-03    4.7955e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    6.2356e+01    2.1015e+00    1.9725e+00    1.6061e-01    5.3607e-02    1.2725e+02    4.2721e-01    2.9641e-01    1.5743e-01    5.1780e-02    1.2138e+02    4.2841e-01    2.9904e-01    2.5794e-01    1.2725e-01    3.6403e+02    3.7584e-01    2.5901e-01    9.7580e-01    2.4201e-02    1.5213e-01    2.3543e-01    7.2391e-02    1.1203e-01    3.1685e-02    3.1534e-02    3.7263e-02    3.1252e-02    3.5041e-02    1.4871e-02    1.6674e-02    5.6948e-03    5.4682e-03    1.1593e-02    5.0166e-03    1.0377e-02    2.3871e-03    4.9378e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    6.4477e+01    2.2539e+00    2.2132e+00    1.6344e-01    6.5636e-02    1.2634e+02    4.5827e-01    3.4191e-01    1.5974e-01    6.3553e-02    1.1988e+02    4.5977e-01    3.4647e-01    2.5587e-01    1.3322e-01    3.3582e+02    4.0655e-01    2.8403e-01    9.7009e-01    2.9911e-02    1.4894e-01    2.3848e-01    6.6083e-02    1.0581e-01    3.5177e-02    3.4933e-02    4.2345e-02    3.3901e-02    4.0142e-02    1.5041e-02    1.7811e-02    6.8171e-03    6.4161e-03    1.4784e-02    5.5035e-03    1.4168e-02    2.4418e-03    6.2861e-03    
6.0000e+02    1.0000e+02    1.0000e-01    6.0000e+01    6.0000e+03    6.6310e+01    2.2454e+00    2.6897e+00    2.0731e-01    9.2928e-02    1.5424e+02    4.7254e-01    3.7598e-01    1.9622e-01    8.5085e-02    1.3843e+02    4.7509e-01    3.8066e-01    3.4874e-01    2.3087e-01    4.3214e+02    4.2530e-01    3.4821e-01    9.4619e-01    5.3806e-02    1.8725e-01    3.6699e-01    8.3396e-02    1.6344e-01    4.0036e-02    3.9533e-02    4.8030e-02    3.9063e-02    4.6692e-02    1.7397e-02    2.0795e-02    1.0425e-02    9.5135e-03    2.0695e-02    8.7348e-03    2.1154e-02    3.8902e-03    9.4213e-03    
